0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0,7,6,21,22,23,7,0,0,0,0,0,0,0,0,0,0,0
22,22,22,22,22,39,0,38,22,23,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,48,49,49,49,49,50,0,0,0,0,0,0,0
0,0,0,0,0,0,48,68,65,51,81,52,67,50,0,0,48,49,49,49
49,49,49,50,0,48,68,51,81,82,0,64,65,67,49,49,68,65,65,65
65,65,65,66,0,48,49,50,25,0,0,64,65,65,65,51,81,81,52,65
65,65,65,67,50,80,52,66,0,48,49,68,65,65,51,82,0,0,64,65
65,51,81,52,67,50,64,67,49,68,65,65,65,65,66,0,48,49,68,65
51,82,0,64,65,67,68,65,65,65,65,65,65,65,67,49,68,65,65,65
67,50,0,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
65,67,49,68,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
